amenity,count
"65"" HDTV with Chromecast, standard cable",2
"20"" HDTV with Netflix",2
"56"" HDTV with Netflix",2
Fast wifi – 81 Mbps,2
Public or shared beach access – Beachfront,2
"TV with Amazon Prime Video, Apple TV, Netflix",2
"40"" TV with Amazon Prime Video, Apple TV, HBO Max, Netflix",2
Fast wifi – 144 Mbps,2
L'Occitane body soap,2
Head & Shoulders conditioner,2
Jec refrigerator,2
Aqua di Colonia conditioner,2
Beko induction stove,2
Adidas body soap,2
Eta refrigerator,2
Elektrolux  refrigerator,2
Ikea  induction stove,2
"43"" HDTV with standard cable",2
PRIJA conditioner,2
PRIJA shampoo,2
PRIJA body soap,2
Fast wifi – 187 Mbps,2
Fast wifi – 166 Mbps,2
"44"" HDTV",2
Fast wifi – 562 Mbps,2
TV with DVD player,2
Другое electric stove,2
Fast wifi – 279 Mbps,2
Fast wifi – 361 Mbps,2
"TV with Netflix, Amazon Prime Video",2
Fast wifi – 264 Mbps,2
Fast wifi – 267 Mbps,2
Philco refrigerator,2
Fast wifi – 218 Mbps,2
Fast wifi – 307 Mbps,2
Gorenje  refrigerator,2
"HDTV with standard cable, DVD player",2
Smeg induction stove,2
Fast wifi – 284 Mbps,2
Fast wifi – 292 Mbps,2
Fast wifi – 269 Mbps,2
Fast wifi – 359 Mbps,2
Douglas body soap,2
Aeg refrigerator,2
"53"" HDTV",2
Yves Rocher shampoo,2
Yves Rocher body soap,2
Frigidaire stainless steel gas stove,2
Fast wifi – 342 Mbps,2
Mora stainless steel single oven,2
No body soap,2
Private gym nearby,2
"40"" HDTV with Netflix, Chromecast, standard cable",2
Fast wifi – 71 Mbps,2
"Private outdoor pool - available all year, open 24 hours, infinity",2
Isana conditioner,2
Four Elements shampoo,2
Four Elements conditioner,2
Four Elements body soap,2
Paid parking lot on premises – 30 spaces,2
"44"" HDTV with Netflix",2
"40"" HDTV with premium cable, Netflix",2
Beko stainless steel electric stove,2
Whirlpool gas stove,2
"32"" HDTV with premium cable",2
Beko stainless steel oven,2
Fast wifi – 297 Mbps,2
"46"" HDTV",2
"50"" HDTV with Netflix, premium cable",2
Frigidaire gas stove,2
"43"" HDTV with Amazon Prime Video, Netflix",2
Paid parking lot on premises – 100 spaces,2
Batting cage,2
Paid crib,2
MORA single oven,2
Paid parking garage on premises – 2 spaces,2
Ikea single oven,2
"40"" TV with Apple TV, HBO Max, Netflix",2
Paid pack ’n play/travel crib - always at the listing,2
"Shared outdoor pool - available seasonally, open 24 hours",2
Siemens gas stove,2
SMEG oven,2
"43"" HDTV with Netflix, Amazon Prime Video",2
ETA electric stove,2
Fast wifi – 134 Mbps,2
Fast wifi – 237 Mbps,2
Fast wifi – 115 Mbps,2
Fagor oven,2
Whirlpool  electric stove,2
Shared pool - ,2
Beko stainless steel double oven,2
"21"" HDTV",2
"40"" HDTV with Amazon Prime Video, Disney+, Netflix, standard cable",2
Sony sound system with Bluetooth and aux,2
"31"" HDTV with Netflix",2
"HDTV with HBO Max, Netflix, standard cable",2
Housekeeping available every day - included with your stay,2
"HDTV with HBO Max, Netflix",2
BOSH refrigerator,2
BOSH stainless steel induction stove,2
Panasonic conditioner,2
"65"" HDTV with Netflix, premium cable",2
Miele stainless steel oven,2
"38"" HDTV with Netflix",2
Concept electric stove,2
Fast wifi – 401 Mbps,2
Kluge single oven,2
"46"" HDTV with standard cable",2
"Coffee maker: drip coffee maker, french press, Nespresso",2
Samsung sound system,2
Fast wifi – 512 Mbps,2
Davines conditioner,2
"YAMAHA, HomePod & JBL sound system with Bluetooth and aux",2
Davines shampoo,2
"49"" HDTV with Netflix, standard cable",2
Aqua line shampoo,2
Paid parking on premises – 2 spaces,2
Free parking on premises – 3 spaces,2
"55"" HDTV with Chromecast",2
Fast wifi – 88 Mbps,2
Mora stainless steel oven,2
Beko single oven,2
"49"" TV",2
"55"" HDTV with Amazon Prime Video, Disney+, Netflix",2
SONOS sound system,2
"21"" TV",2
Pantene conditioner,2
Bose sound system with Bluetooth and aux,2
Fast wifi – 100 Mbps,2
Palmolive shampoo,2
"30"" HDTV with Netflix",2
Cien body soap,2
Fast wifi – 77 Mbps,2
"43"" HDTV with Chromecast, Netflix, standard cable",2
"TV with Netflix, standard cable",2
Kluge electric stove,2
Vittore DE Conti The Exclusive Collectio shampoo,2
Vittore DE Conti The Exclusive Collection conditioner,2
Fast wifi – 181 Mbps,2
Vittore DE Conti The Exclusive Collectio body soap,2
Alverde body soap,2
"55"" HDTV with Disney+, Netflix, standard cable",2
"52"" HDTV with standard cable",2
"HDTV with Netflix, HBO Max",2
Fast wifi – 65 Mbps,2
"75"" HDTV with Netflix",2
Head&Shoulder shampoo,2
"37"" HDTV with standard cable",2
Fast wifi – 270 Mbps,2
Philips refrigerator,2
Shared pool - available all year,2
"Housekeeping available 24 hours, every day - available at extra cost",2
Eco shampoo,2
Eco body soap,2
Fast wifi – 137 Mbps,2
Linteo body soap,2
Radox body soap,2
Home made body soap,2
Fast wifi – 175 Mbps,2
"51"" HDTV with Netflix",2
Jiné stainless steel electric stove,2
Zanussi induction stove,2
"HDTV with Netflix, Amazon Prime Video, standard cable",2
Fast wifi – 197 Mbps,2
Fast wifi – 201 Mbps,2
Beko gas stove,2
Lake view,2
"42"" HDTV with premium cable",2
ETA refrigerator,2
Fast wifi – 99 Mbps,2
Baumatic stainless steel oven,2
"Coffee maker: french press, pour-over coffee",2
Kluge induction stove,2
"43"" TV with standard cable",2
"32"" HDTV with standard cable, Netflix",2
"55"" TV with Amazon Prime Video, Apple TV, Chromecast, Disney+, Fire TV, HBO Max, Hulu, Netflix, premium cable, Roku, standard cable",1
Bio body soap,1
HDTV with Amazon Prime Video,1
Shared outdoor pool - available all year,1
Americká Samsung refrigerator,1
"27"" TV with Disney+, Fire TV, HBO Max",1
Wella conditioner,1
Head shoulders shampoo,1
"55"" HDTV with Amazon Prime Video, Apple TV, HBO Max, Netflix",1
Medea conditioner,1
Private pool - available seasonally,1
Mielle refrigerator,1
Bertazzoni electric stove,1
"39"" HDTV with Netflix",1
"HDTV with Amazon Prime Video, Netflix, premium cable, standard cable",1
"85"" HDTV with Netflix",1
"45"" HDTV with Apple TV, Netflix, premium cable, standard cable",1
Soiundmaster Bluetooth sound system,1
"65"" HDTV with Amazon Prime Video, HBO Max, Netflix",1
"15"" TV",1
Wifi – 12 Mbps,1
AMICA refrigerator,1
"14"" TV with premium cable",1
Siemens  refrigerator,1
"52"" HDTV with premium cable",1
"70"" HDTV",1
"Phillips, LG: on request sound system with Bluetooth and aux",1
"Shared indoor pool - available all year, open specific hours, heated, lap pool, olympic-sized",1
"Coffee maker: drip coffee maker, espresso machine, french press, Keurig coffee machine, Nespresso, pour-over coffee",1
"45"" HDTV with Netflix, premium cable, standard cable",1
Sencor  electric stove,1
"42"" HDTV with Chromecast, Fire TV",1
"50"" HDTV with Amazon Prime Video, Disney+, Chromecast, HBO Max, Netflix",1
Bosch Induction  stove,1
"100"" HDTV with HBO Max, Netflix, premium cable, standard cable",1
"32"" HDTV with Chromecast, Netflix",1
"Indukce 2 plotýnky,  je vidět na fotografii  electric stove",1
"50"" HDTV with Apple TV, Netflix, premium cable, standard cable",1
"Housekeeping available 24 hours, 2 days a week - available at extra cost",1
Bosh oven,1
Italská  conditioner,1
Zanussi stainless steel single oven,1
Loccitane body soap,1
Lush conditioner,1
"32"" HDTV with Apple TV, HBO Max, Netflix",1
We provide washing lotion at the apartment  body soap,1
Small fridge refrigerator,1
"HDTV with Apple TV, Chromecast, Disney+, Netflix",1
Franke induction stove,1
"50"" TV with standard cable",1
Electrolux  stainless steel induction stove,1
Fast wifi – 207 Mbps,1
"60"" HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Netflix, premium cable, standard cable",1
Simens induction stove,1
"TV with standard cable, Amazon Prime Video, Netflix",1
Fast wifi – 176 Mbps,1
Fast wifi – 213 Mbps,1
Fast wifi – 168 Mbps,1
Fast wifi – 131 Mbps,1
"19"" TV with standard cable",1
"Shared BBQ grill: charcoal, electric",1
1 plate induction plate stove,1
"42"" HDTV with DVD player",1
Smeg electric stove,1
"HDTV with Apple TV, standard cable, Netflix",1
Manufaktura conditioner,1
Fast wifi – 373 Mbps,1
"TV with Netflix, Amazon Prime Video, standard cable",1
"31"" HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix, Roku",1
All brands are the same refrigerator,1
RITUALS shampoo,1
KLARSTEIN refrigerator,1
"46"" HDTV with Chromecast, Netflix, standard cable",1
"HDTV with standard cable, premium cable",1
Refrigerator  with freezer  refrigerator,1
Bosh stainless steel oven,1
"HDTV with Apple TV, Netflix, standard cable",1
Liebherr  refrigerator,1
"51"" HDTV",1
"41"" HDTV with Netflix",1
Fast wifi – 588 Mbps,1
Generic body soap,1
Booster seat high chair,1
Fast wifi – 266 Mbps,1
Guzzanti electric stove,1
"100"" HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, Netflix",1
Harman Kardon sound system,1
"55"" HDTV with Apple TV, HBO Max, Netflix",1
Wifi – 3 Mbps,1
Tierra Verde (eco cert.) body soap,1
"65"" HDTV with standard cable",1
TV with HBO Max,1
Bagno doccia body soap,1
"40"" TV",1
Bertazzoni stainless steel gas stove,1
Fast wifi – 407 Mbps,1
Clue body soap,1
"43"" HDTV with Amazon Prime Video, Chromecast, Netflix, premium cable",1
"HDTV with Netflix, DVD player",1
"40"" HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, HBO Max, Netflix, standard cable",1
"80"" HDTV with Netflix",1
"55"" HDTV with Apple TV, HBO Max, Netflix, premium cable, Roku, standard cable",1
"TV with standard cable, Netflix, HBO Max, premium cable",1
"32"" TV with Amazon Prime Video, Netflix, standard cable",1
"40"" HDTV with standard cable, Netflix",1
"23"" HDTV with Netflix",1
Pivní mydlo body soap,1
Miele single oven,1
"Coffee maker: french press, Nespresso, pour-over coffee",1
Fast wifi – 124 Mbps,1
"37"" TV",1
"TV with Disney+, HBO Max, standard cable",1
Thompson sound system,1
Různá body soap,1
Různá conditioner,1
"43"" HDTV with Apple TV, Disney+, HBO Max, Netflix, premium cable, standard cable",1
Aeg  refrigerator,1
"43"" HDTV with Apple TV, HBO Max, Netflix, premium cable, standard cable",1
Fast wifi – 130 Mbps,1
"37"" HDTV with Netflix, standard cable",1
Bomatic induction stove,1
Ronson stainless steel oven,1
Raze 2 Bluetooth sound system,1
"50"" HDTV with Apple TV, Disney+, HBO Max, Netflix, standard cable",1
"40"" HDTV with Disney+, Netflix, Hulu, standard cable",1
Available brands body soap,1
Lóreal conditioner,1
"45"" HDTV with premium cable, Disney+, Netflix, HBO Max, standard cable",1
"34"" HDTV",1
Fast wifi – 311 Mbps,1
"52"" HDTV with Netflix, premium cable, standard cable",1
Fast wifi – 379 Mbps,1
"HDTV with Apple TV, Disney+, Netflix",1
Fast wifi – 108 Mbps,1
Fast wifi – 128 Mbps,1
Basic all brands are the same body soap,1
"31"" HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Roku",1
Biologically friendly  body soap,1
Biologically friendly  conditioner,1
"HDTV with Netflix, Chromecast",1
"30"" TV with standard cable",1
"65"" HDTV with Disney+, Netflix",1
Free residential garage on premises – 6 spaces,1
"HDTV with Netflix, HBO Max, Disney+, Amazon Prime Video",1
Fast wifi – 386 Mbps,1
Harman Kardon Go+Play Bluetooth sound system,1
Fast wifi – 794 Mbps,1
Fast wifi – 113 Mbps,1
"65"" HDTV with Apple TV, Chromecast, Netflix, standard cable",1
"55"" HDTV with HBO Max, Netflix, premium cable, Disney+, Amazon Prime Video",1
Organic  body soap,1
"50"" HDTV with Apple TV, HBO Max, Netflix, premium cable",1
"65"" TV",1
"HDTV with standard cable, Amazon Prime Video",1
Concept single oven,1
Fast wifi – 199 Mbps,1
Clamp on table seat high chair,1
"42"" HDTV with Netflix, premium cable",1
Every reservation receive a new shower gel for body body soap,1
Fast wifi – 85 Mbps,1
"55"" HDTV with HBO Max, Disney+, Netflix",1
"55"" TV with Chromecast",1
Lidl shampoo,1
HDTV with DVD player,1
Organic conditioner,1
Organic shampoo,1
Muse sound system with Bluetooth and aux,1
"43"" HDTV with HBO Max",1
Fast wifi – 479 Mbps,1
BIO shampoo,1
BOSH stainless steel oven,1
"60"" HDTV with standard cable, Netflix, HBO Max, Apple TV",1
"60"" HDTV with Apple TV, Disney+, Netflix, standard cable",1
"Private indoor pool - available seasonally, open 24 hours, infinity, pool toys",1
Fast wifi – 552 Mbps,1
"50"" TV",1
"40"" HDTV with Amazon Prime Video",1
"HDTV with Netflix, Amazon Prime Video",1
"24"" HDTV with standard cable",1
Angelo conditioner,1
Angelo body soap,1
"HDTV with Netflix, Chromecast, standard cable",1
Fast wifi – 107 Mbps,1
. body soap,1
"42"" HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, Netflix, standard cable",1
"30"" TV with Netflix, standard cable",1
"40"" HDTV with Chromecast, Netflix",1
Sogo oven,1
"50"" HDTV with Disney+, HBO Max, Netflix, standard cable",1
Fast wifi – 156 Mbps,1
Forno electric stove,1
Wifi – 7 Mbps,1
"49"" HDTV with standard cable",1
Fast wifi – 308 Mbps,1
Fast wifi – 530 Mbps,1
Local conditioner,1
Amica gas stove,1
Fast wifi – 139 Mbps,1
Wifi – 9 Mbps,1
"TV with Netflix, HBO Max, Apple TV, standard cable",1
"32"" HDTV with Amazon Prime Video, Chromecast, Netflix, standard cable",1
IKEA stainless steel oven,1
"52"" HDTV",1
Fast wifi – 590 Mbps,1
Teka induction stove,1
Fast wifi – 551 Mbps,1
"48"" HDTV with Netflix, standard cable",1
Whirpool single oven,1
"46"" HDTV with Netflix, standard cable",1
"60"" TV with Netflix",1
"33"" HDTV",1
Fast wifi – 178 Mbps,1
"55"" HDTV with standard cable, Netflix",1
"36"" HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, HBO Max, Netflix",1
Tierra Verde - local ecological brand shampoo,1
"55"" HDTV with Amazon Prime Video, Disney+, HBO Max, Hulu, Netflix",1
"55"" HDTV with Hulu, Netflix, HBO Max",1
Loudspeakers sound system,1
DM- Eco friendly body soap,1
"40"" HDTV with Amazon Prime Video, standard cable",1
DM- Eco friendly shampoo,1
DM-eco friendly  conditioner,1
"50"" HDTV with Amazon Prime Video, Netflix, HBO Max, standard cable",1
"HDTV with Netflix, Amazon Prime Video, HBO Max",1
"50"" HDTV with Amazon Prime Video, HBO Max, Netflix",1
Fast wifi – 61 Mbps,1
"Coffee maker: drip coffee maker, espresso machine, pour-over coffee",1
"44"" TV with Netflix, Apple TV",1
Fast wifi – 222 Mbps,1
Tierra Verde - local ecological brand body soap,1
MIELE LARGE FRIDGE FREEZER refrigerator,1
NEFF stainless steel single oven,1
"HDTV with Netflix, HBO Max, Amazon Prime Video, standard cable",1
Fast wifi – 212 Mbps,1
Fast wifi – 219 Mbps,1
"55"" HDTV with Apple TV, Netflix, premium cable, standard cable, Disney+",1
"50"" HDTV with Netflix, HBO Max, Amazon Prime Video",1
"43"" HDTV with Netflix, standard cable, Amazon Prime Video",1
"40"" HDTV with Disney+, Netflix, premium cable, standard cable",1
"55"" HDTV with Disney+, Netflix, premium cable, standard cable",1
"32"" TV with Disney+, Netflix",1
"HDTV with Netflix, HBO Max, Amazon Prime Video",1
Fast wifi – 171 Mbps,1
"50"" HDTV with standard cable, Netflix, HBO Max, premium cable",1
"BBQ grill: charcoal, gas",1
L ´Occitane shampoo,1
"40"" HDTV with Amazon Prime Video, DVD player, Netflix",1
Samsung Sound Bar Bluetooth sound system,1
Fast wifi – 305 Mbps,1
Zanusi refrigerator,1
Balea by DM (hypoallergenic) body soap,1
Acqua di Colonia body soap,1
"39"" TV",1
Fast wifi – 285 Mbps,1
MORA induction stove,1
"TV with Amazon Prime Video, Apple TV, HBO Max, Netflix",1
Fast wifi – 185 Mbps,1
Sencor sound system with Bluetooth and aux,1
"82"" TV with standard cable",1
Combined with microwave  oven,1
"65"" HDTV with Chromecast",1
Fakro stainless steel oven,1
Tekuté body soap,1
"50"" HDTV with standard cable, Netflix, Amazon Prime Video",1
Fast wifi – 234 Mbps,1
Fast wifi – 82 Mbps,1
Tecnowind induction stove,1
Thomson sound system with Bluetooth and aux,1
Game console: Xbox 360 and Xbox Series X,1
"50"" HDTV with HBO Max, Netflix, Amazon Prime Video, Chromecast, premium cable",1
Fast wifi – 321 Mbps,1
Paid parking garage on premises – 14 spaces,1
Fast wifi – 356 Mbps,1
Electrolux oven,1
Fast wifi – 281 Mbps,1
Fast wifi – 203 Mbps,1
Fast wifi – 215 Mbps,1
Fast wifi – 159 Mbps,1
Fast wifi – 262 Mbps,1
Fast wifi – 363 Mbps,1
Fast wifi – 300 Mbps,1
Fast wifi – 369 Mbps,1
Mitsubishi  conditioner,1
Fast wifi – 345 Mbps,1
Fast wifi – 276 Mbps,1
Fast wifi – 341 Mbps,1
Fast wifi – 173 Mbps,1
Gorenje  stainless steel oven,1
ILink лампа на потолке  Bluetooth sound system,1
Gorenje  induction stove,1
Fast wifi – 442 Mbps,1
Akpo induction stove,1
Vivian Gray White Crystals body soap,1
Fast wifi – 249 Mbps,1
L ´ Occitane body soap,1
Nivea  conditioner,1
"43"" HDTV with Netflix, premium cable, standard cable",1
Lillien - shea butter  conditioner,1
Fast wifi – 204 Mbps,1
"70"" TV with Netflix",1
Lillien - Coconut  shampoo,1
Lillien - green apple  body soap,1
The White Company shampoo,1
The White Company body soap,1
The White Company conditioner,1
"30"" HDTV with premium cable, Netflix",1
Liebher refrigerator,1
EcoPure - Essence body soap,1
Fast wifi – 335 Mbps,1
Fast wifi – 79 Mbps,1
Ardo refrigerator,1
Helper electric stove,1
Bang & Olufsen sound system with Bluetooth and aux,1
Manufaktura - best typical Czech cosmetics shampoo,1
"70"" HDTV with Netflix, Apple TV",1
Manufaktura - best typical Czech cosmetics body soap,1
Manufaktura - best typical Czech cosmetics conditioner,1
Fast wifi – 190 Mbps,1
. conditioner,1
Fast wifi – 488 Mbps,1
"55"" HDTV with Apple TV, Fire TV, HBO Max, Netflix, standard cable",1
"55"" HDTV with Apple TV, HBO Max, Netflix, premium cable",1
Yves Rocher conditioner,1
Addidas body soap,1
Addidas conditioner,1
Ardo electric stove,1
Fast wifi – 83 Mbps,1
Fast wifi – 358 Mbps,1
Fast wifi – 364 Mbps,1
BEKO stainless steel electric stove,1
"36"" HDTV with premium cable",1
Hyundai electric stove,1
Sensitive  shampoo,1
For sensitive skin body soap,1
"Indoor fireplace: electric, gas",1
"Coffee maker: drip coffee maker, Keurig coffee machine",1
Fast wifi – 89 Mbps,1
Fast wifi – 235 Mbps,1
METRO shampoo,1
METRO body soap,1
"40"" HDTV with Netflix, Disney+, Apple TV, premium cable, standard cable",1
Aqua di Colonia body soap,1
Paid valet parking on premises – 100 spaces,1
Fast wifi – 339 Mbps,1
"6"" HDTV with standard cable, Chromecast, Netflix, premium cable",1
"HDTV with Netflix, premium cable, HBO Max, standard cable",1
"100"" HDTV with standard cable",1
"40"" HDTV with Apple TV, Amazon Prime Video, Netflix, standard cable",1
"HDTV with Netflix, premium cable, Fire TV, standard cable",1
Children’s books and toys for ages 10+ years old,1
"Pantene pro-V,  schauma, lóreal shampoo",1
"Palmolive, lilien body soap",1
"32"" HDTV with standard cable, premium cable",1
"HDTV with HBO Max, Apple TV, Disney+, Netflix, Amazon Prime Video, DVD player, Chromecast",1
"32"" HDTV with premium cable, Netflix",1
Miel stainless steel oven,1
"26"" TV with Netflix",1
"Různé značky např. Nivea, Cien body soap",1
"HDTV with Netflix, Disney+, Apple TV, Amazon Prime Video",1
"26"" HDTV with Netflix",1
"50"" HDTV with Apple TV, Netflix",1
Siemens  oven,1
Bluetooth reproduktor sound system with aux,1
Zanussi oven,1
Zanussi stove,1
"48"" HDTV with premium cable",1
Heinsens refrigerator,1
"60"" HDTV with Amazon Prime Video, Apple TV, HBO Max, Netflix, standard cable",1
"40"" TV with Apple TV, Netflix",1
"TV with premium cable, HBO Max, Netflix",1
Dermomed body soap,1
Fast wifi – 507 Mbps,1
Hand and shoulders shampoo,1
"50"" HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, HBO Max, Hulu, Netflix, premium cable",1
Housekeeping available 1 day a week - available at extra cost,1
ILLE shampoo,1
ILLE body soap,1
Paid parking lot on premises – 15 spaces,1
"55"" HDTV with Roku, Netflix, standard cable, Amazon Prime Video, HBO Max, Hulu, Apple TV, Disney+",1
Gorenje stainless steel induction stove,1
Hensen refrigerator,1
Heisens refrigerator,1
Dobrá body soap,1
Dobry oven,1
Dobrý shampoo,1
Dobry refrigerator,1
"TV with Fire TV, Disney+, Netflix, standard cable",1
"35"" HDTV with Chromecast",1
Whatever i decide to buy that day ;-) body soap,1
"32"" HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix",1
"Shared pool - available seasonally, open specific hours",1
Tivoli Audio sound system with aux,1
MIdea refrigerator,1
"55"" HDTV with HBO Max, Netflix, premium cable, standard cable",1
"35"" HDTV with Apple TV",1
Palmoliv conditioner,1
Dibrý stove,1
Dobrý conditioner,1
"28"" HDTV",1
"48"" TV",1
"47"" HDTV with Netflix",1
Fast wifi – 353 Mbps,1
"Game console: Nintendo Switch, PS2, and PS4",1
Fast wifi – 68 Mbps,1
"5"" HDTV",1
Palmlive body soap,1
For hotels body soap,1
Panasonic Soundbar sound system with Bluetooth and aux,1
LG stainless steel electric stove,1
Candy  induction stove,1
Gorenj refrigerator,1
ZERO body soap,1
Eta oven,1
"20"" TV with Netflix",1
Lavera shampoo,1
Free parking on premises – 4 spaces,1
"110"" HDTV with Netflix, premium cable, standard cable",1
"60"" HDTV with HBO Max, Netflix",1
"50"" TV with premium cable, standard cable",1
FIKO 2E21 stove,1
"46"" HDTV with Netflix",1
"35"" HDTV",1
"LG two door American, ice maker and filtered water  refrigerator",1
Vitabrava conditioner,1
Vitabrava shampoo,1
Organic body soap,1
"55"" HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Netflix, standard cable, DVD player",1
Fast wifi – 231 Mbps,1
"40"" HDTV with Amazon Prime Video, Fire TV, Netflix, DVD player",1
Siemens stove,1
"HDTV with Amazon Prime Video, Fire TV, Netflix",1
"55"" HDTV with Amazon Prime Video, Chromecast, Disney+, HBO Max, Netflix, Roku",1
Sonos  Bluetooth sound system,1
"100"" HDTV with Disney+, Netflix",1
Generic shampoo,1
Generic oven,1
Indesit oven,1
PANTENE Pro-V shampoo,1
"32"" HDTV with Netflix, premium cable, standard cable",1
Dvouvaric stove,1
Botanica  body soap,1
Fast wifi – 160 Mbps,1
Bezobalu/solid body soap,1
Bezobalu/solid shampoo,1
Shared outdoor pool - lap pool,1
"Coffee maker: espresso machine, french press, Nespresso, pour-over coffee",1
Fast wifi – 179 Mbps,1
Fast wifi – 325 Mbps,1
Fast wifi – 312 Mbps,1
"40"" HDTV with Netflix, premium cable, standard cable",1
Aeg  stainless steel oven,1
Fast wifi – 518 Mbps,1
Solide body soap,1
Solide shampoo,1
"50"" HDTV with premium cable, standard cable",1
Samsung oven,1
Panasonic  stainless steel oven,1
"69"" HDTV with Chromecast, standard cable",1
Fast wifi – 294 Mbps,1
Ariston oven,1
Ariston refrigerator,1
Baumatic induction stove,1
"31"" HDTV with Apple TV, Disney+, HBO Max, Netflix, Roku",1
LG Bluetooth sound system,1
Whiripool refrigerator,1
